63,2,"Villa Park, IL",41.915,-87.979,1 17 2013 8:29AM,1 17 2013 9:36AM
64,1,"Mirando City, TX",27.44,-99.001,1 18 2013 12:30PM,1 18 2013 3:30PM
64,2,"Alsip, IL",41.662,-87.738,1 21 2013 7:00AM,1 21 2013 8:06AM
65,1,"Mirando City, TX",27.44,-99.001,1 10 2013 1:00PM,1 10 2013 2:00PM
65,2,"Alsip, IL",41.662,-87.738,1 14 2013 8:00AM,1 14 2013 10:00AM
66,1,"Mirando City, TX",27.44,-99.001,1 21 2013 4:30PM,1 21 2013 6:00PM
66,2,"Chicago, IL",41.874,-87.651,1 23 2013 2:00PM,1 23 2013 4:30PM
67,1,"Mirando City, TX",27.44,-99.001,1 15 2013 10:00AM,1 15 2013 1:45PM
67,2,"Chicago, IL",41.874,-87.651,1 18 2013 8:12AM,1 18 2013 10:30AM
68,1,"Mirando City, TX",27.44,-99.001,1 10 2013 2:00PM,1 10 2013 3:10PM
68,2,"Chicago, IL",41.874,-87.651,1 14 2013 6:25AM,1 14 2013 8:26AM
69,1,"Mirando City, TX",27.44,-99.001,1 11 2013 7:50AM,1 11 2013 11:18AM
69,2,"Itasca, IL",41.971,-88.018,1 14 2013 9:05AM,1 14 2013 11:00AM
70,1,"South Hackensack, NJ",40.862,-74.048,1 4 2013 7:00AM,1 4 2013 8:30AM
70,2,"Romeoville, IL",41.64,-88.077,1 7 2013 5:30AM,1 7 2013 7:16AM
71,1,"South brunswick, NJ",40.343,-74.492,1 2 2013 11:15AM,1 2 2013 3:30PM
71,2,"New Oxford, PA",39.862,-77.05,1 2 2013 6:30PM,1 2 2013 9:45PM
71,3,"Romeoville, IL",41.64,-88.077,1 4 2013 3:50AM,1 4 2013 6:15AM
72,1,"Des Plaines, IL",42.041,-87.888,1 2 2013 9:00AM,1 2 2013 10:00AM
72,2,"Indianapolis, IN",39.768,-86.158,1 2 2013 4:25PM,1 2 2013 8:00PM
73,1,"Brookfield, IL",41.816,-87.836,1 2 2013 10:00AM,1 2 2013 11:00AM
73,2,"Spring Arbor, MI",42.205,-84.553,1 3 2013 7:30AM,1 3 2013 7:49AM
74,1,"Roselle, NJ",40.664,-74.263,1 2 2013 12:00PM,1 2 2013 1:00PM
74,2,"Chicago, IL",41.874,-87.651,1 4 2013 8:00AM,1 4 2013 9:00AM
75,1,"Schaumburg, IL",42.034,-88.026,1 2 2013 10:00AM,1 2 2013 10:00AM
